k,PSD
0.000000000000000000e+00,2.166671187435640335e-34
4.908738521234051744e-02,6.704720452177490020e-02
9.817477042468103487e-02,6.660009064333294315e-02
1.472621556370215523e-01,1.398584770642677302e-03
1.963495408493620697e-01,1.121391414276456250e-01
2.454369260617025872e-01,6.021675687305603694e-03
2.945243112740431046e-01,3.003989083912951205e-02
3.436116964863836221e-01,5.519497250549587966e-03
3.926990816987241395e-01,4.108761405229788798e-03
4.417864669110646569e-01,1.080279643495198928e-03
4.908738521234051744e-01,5.162570128050424437e-03
5.399612373357456363e-01,7.759921086183886769e-03
5.890486225480862092e-01,1.414661976083523036e-03
6.381360077604267822e-01,3.994692056753032169e-03
6.872233929727672441e-01,6.468918764014634695e-04
7.363107781851077061e-01,1.510150048223308844e-03
7.853981633974482790e-01,8.225119441921165814e-04
8.344855486097888519e-01,2.258815844066477095e-04
8.835729338221293139e-01,1.045249106347471459e-03
9.326603190344697758e-01,6.309219389755640764e-04
9.817477042468103487e-01,4.008557834065366193e-04
1.030835089459150922e+00,1.050525682424826326e-04
1.079922474671491273e+00,6.898629505875252151e-04
1.129009859883831846e+00,1.318858864288479824e-04
1.178097245096172418e+00,1.100980984447819778e-04
1.227184630308512991e+00,3.710147988015728839e-05
1.276272015520853564e+00,1.693755365183065721e-04
1.325359400733193915e+00,9.864321490280468247e-05
1.374446785945534488e+00,1.242317331728004493e-04
1.423534171157875061e+00,2.508478739790366086e-04
1.472621556370215412e+00,2.134265884502675032e-04
1.521708941582555985e+00,6.567501179544204810e-05
1.570796326794896558e+00,2.177409199027186283e-07
1.619883712007237131e+00,1.203706215242022622e-34
1.668971097219577704e+00,1.925929944387236281e-34
1.718058482431918055e+00,1.278937853694648809e-34
1.767145867644258628e+00,4.814824860968090488e-34
1.816233252856599201e+00,1.023150282955719047e-34
1.865320638068939552e+00,1.278937853694648809e-34
1.914408023281280125e+00,4.814824860968090488e-34
1.963495408493620697e+00,3.178536724623465849e-34
2.012582793705961048e+00,7.259853110678448718e-35
2.061670178918301843e+00,6.018531076210112041e-34
2.110757564130642194e+00,1.594910735195679905e-34
2.159844949342982545e+00,4.814824860968090702e-35
2.208932334555323340e+00,1.354169492147275209e-35
2.258019719767663691e+00,9.208352546601469712e-34
2.307107104980004486e+00,1.519679096743053290e-34
2.356194490192344837e+00,1.354169492147275209e-35
2.405281875404685188e+00,1.880790961315660227e-34
2.454369260617025983e+00,6.298357506423357582e-34
2.503456645829366334e+00,3.851859888774471706e-34
2.552544031041707129e+00,4.092601131822876188e-34
2.601631416254047480e+00,3.851859888774471706e-34
2.650718801466387831e+00,1.402317740756956277e-33
2.699806186678728626e+00,2.320896046263524883e-34
2.748893571891068976e+00,0.000000000000000000e+00
2.797980957103409327e+00,3.912045199536571971e-34
2.847068342315750122e+00,1.203706215242022622e-34
2.896155727528090473e+00,2.407412430484044816e-35
2.945243112740430824e+00,3.851859888774471706e-34
2.994330497952771619e+00,4.814824860968090702e-35
3.043417883165111970e+00,4.814824860968090488e-34
3.092505268377452765e+00,3.081487911019578049e-33
